小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
佳宏花园,"(海沧东孚)洪诗路佳宏花园, 海沧区过坂北里22-174号",19580,2009年建成 ,板楼,1.5元/平米/月,厦门市海投物业有限公司,厦门海沧房地产开发公司,7栋,809户
振兴小区,(同安同安其它)环城北路24号,18784,1991年建成 ,板楼,1.6元/平米/月,暂无信息,暂无信息,43栋,813户
城南阳翟教师楼,(同安同安其它)较场路城南阳翟教师楼,15083,1994年建成 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,13户
三秀制面厂安置房小区,(同安同安其它)三秀路三秀制面厂安置房小区,24858,2016年建成 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,154户
东溪花园二区,(同安同安其它)北镇二里49号,17925,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3栋,76户
幸福楼,(同安同安其它)舒安里26号,14890,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,21户
凤泉广场,"(集美灌口)凤泉东里49号, 集美区凤泉东里49号",19630,2000年建成 ,塔楼/板楼,1至1.2元/平米/月,厦门新福依房地产开发有限公司,厦门市杏林建设开发公司,17栋,35户
航空祥郡,(同安同安其它)凤祥路厦航祥郡,30135,2015年建成 ,塔板结合,2.4元/平米/月,厦门厦航物业管理有限公司,暂无信息,28栋,815户
东溪里,(同安同安其它)南门路149号,17346,1999年建成 ,未知类型,暂无信息,暂无信息,暂无信息,23栋,308户
西澜殿,(同安同安其它)金桥巷70号,14640,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,28户
春江里,(翔安马巷)春波路春江里,6185,2007年建成 ,平房,2.1元/平米/月,海怡物业物业管理, 重庆汇东房地产开发有限公司,73栋,1460户
富贵家园(二期),(同安同安其它)银湖中路148号,15273,2004年建成 ,塔楼,0.5至1.2元/平米/月,无物业管理服务,暂无信息,2栋,17户
佳和楼,(同安同安其它)碧岳村301号,11967,1996年建成 ,板楼,暂无信息,无物业管理服务,暂无信息,3栋,63户
新城花园,(同安同安其它)祥路里1-5号,14934,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,5栋,69户
鹭洲花园,(同安同安其它)祥平里59～61号,16163,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,50户
华福楼,(同安同安其它)凤山路5号,13501,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,49户
钟楼安置房,(同安同安其它)三秀南里38号,22304,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,68户
银华新村,(同安同安其它)环城东路银华新村,14773,1988年建成 ,未知类型,暂无信息,暂无信息,暂无信息,15栋,529户
富贵家园(三期),(同安同安其它)祥平一路富贵花园三期,26101,2003年建成 ,塔楼,暂无信息,暂无信息,暂无信息,8栋,221户
湖光大厦,(思明滨东)湖滨四里64-1号,27667,1988年建成 ,塔楼,2.5元/平米/月,厦门友朋四方物业管理有限公司,四川省聚丰房地产开发有限责任公司1,1栋,82户
未来海岸蓝月湾一期,"(海沧未来海岸北师大)嵩屿五里1到48号, 海沧区嵩屿北五里1-54号",33091,2006年建成 ,塔楼/板楼/塔板结合,1.8至50元/平米/月,厦门市海投物业有限公司,厦门海投房地产有限公司 ,15栋,1530户
万科金域华府二期,"(集美杏林桥头)宁海一里37号, 宁海一里66号, 集美区宁海一里1-48号",31657,2000年建成 ,塔楼/板楼,3.08至4.3元/平米/月,厦门市万科物业服务有限公司,厦门万科房地产有限公司,18栋,3793户
中航城国际社区C座,"(集美集美新城)九天湖五里, 九天湖六里1-12号, 九天湖六里47号, 集美区九天湖五里1-39号",42987,2006年建成 ,板楼/塔板结合,2.43至3.71元/平米/月,中航物业管理有限公司厦门分公司,中航地产,51栋,3499户
水晶湖郡C区,(集美集美新城)滨水路水晶湖郡C区,45436,2004年建成 ,塔板结合,2.5至3.5元/平米/月,厦门市住总物业管理公司,厦门万特福房地产开发有限公司,127栋,2287户
莲花新城一期,(集美集美新城)集美区杏林街道龙亭三里9号,38777,2011年建成 ,板楼/塔板结合,1.98至3.9元/平米/月,厦门市住总物业管理公司,厦门住宅建设集团有限公司,9栋,755户
未来海岸浪琴湾,(海沧未来海岸北师大)嵩屿北一里1到142号,32743,2002年建成 ,塔楼/板楼/塔板结合/平房,1.15至2元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,22栋,2161户
住宅·水晶湖郡,"(集美集美新城)厦门市集美区滨水四里, 集美区滨水四里37-91号",43525,2009年建成 ,板楼/塔板结合,2.5至3.5元/平米/月,厦门市住总物业管理公司,厦门万特福房地产开发有限公司,23栋,1900户
集美中心花园,"(集美集美文教区)银盛里1到97号, 银盛里77号, 银盛里4-2号, 银盛里4-1号, 集美区银盛里1-95号",38253,1936年建成 ,塔楼/板楼/塔板结合,0.8至1.5元/平米/月,厦门福中物业管理有限公司,厦门海发房地产开发有限公司,42栋,1341户
禹洲尊海,"(海沧海沧体育中心)湖岸南路禹洲尊海, 海沧区滨湖二里190-219号",43514,2005年建成 ,塔楼/塔板结合/平房,2.5至5元/平米/月,厦门市华侨城物业管理有限公司,厦门禹洲鸿图地产开发有限公司,52栋,2796户
招商海德公园一期,"(集美集美其它)东安南二里39号到66号, 东安南二里36号, 集美区东安南二里39-65号,东安南四里36-43号",35601,2010年建成 ,板楼/塔板结合,2.75至3.56元/平米/月,招商局物业管理有限公司厦门分公司,招商局地产（厦门）有限公司,16栋,1222户
中航城A区,"(集美杏锦路)集美杏锦路, 集美区园博六里2-39号",44728,1997年建成 ,塔楼/板楼/塔板结合,2.68至3.15元/平米/月,暂无信息,厦门富铭杏博置业有限公司,64栋,2943户
天心岛,"(海沧滨海社区)沧湖东一里512到541号, 沧湖东一里553号, 沧林东三路85-102号, 沧湖东一里551号, 沧湖东一里549-1号, 沧林东路79号, 沧林东路65号, 海沧区沧湖东一里542号, 海沧区沧湖东一里513-549号",39072,2005年建成 ,塔楼/板楼/塔板结合,1.8至3.2元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,19栋,2114户
保利叁仟栋一期,(同安环东海域)滨海西大道保利叁仟栋一期,41467,1999年建成 ,板楼/塔板结合,3.1至6.5元/平米/月,保利物业管理有限公司厦门分公司,保利地产,31栋,2213户
橡树湾,"(集美杏北)杏北三里73号到114号, 杏北三里122号, 集美区杏北三里33-122号",31561,2007年建成 ,塔楼/板楼,2.8至4.3元/平米/月,华润置地（福州）物业服务有限公司厦门分公司,华润置地（厦门）有限公司,13栋,1464户
泉水湾二期,"(集美集美其它)乐海北里217号, 集美区乐海北里221-230号",38766,2010年建成 ,板楼/塔板结合,1.9元/平米/月,厦门康乐物业发展有限公司,厦门泉舜房地产开发有限公司,8栋,795户
世茂御海墅,(翔安翔安新城)滨海东大道世茂御海墅,33096,2014年建成 ,板楼/塔板结合,2.75至5元/平米/月,世茂天成物业服务集团有限公司,厦门世茂新纪元置业有限公司,64栋,3051户
禹洲中央海岸二期,"(集美杏林桥头)宁海三里, 集美区宁海三里1-24号",32510,2014年建成 ,塔楼/板楼,2.5至2.7元/平米/月,厦门市华侨城物业管理有限公司,厦门贵丰房地产开发有限公司,7栋,1783户
海上五月花六期,"(集美集美其它)东安北六里, 集美区东安北六里3-9号",38920,2010年建成 ,板楼/塔板结合/平房,2.8至3.3元/平米/月,保利物业管理有限公司厦门分公司,福建中联盛房地产开发有限公司 ,6栋,794户
未来海岸蓝月湾二期,(海沧未来海岸北师大)嵩屿五里1到48号,35127,2002年建成 ,塔楼/板楼/塔板结合,1.7至50元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,11栋,1076户
水岸名筑,"(海沧海沧体育中心)兴港路1到34号, 海沧区兴港七里3-34号",32581,2007年建成 ,塔楼/板楼,1.5元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,16栋,1940户
江头苑,(湖里SM)薛岭北里91-100号,40728,1996年建成 ,塔板结合,0.3至1.8元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,8栋,77户
旭日海湾三期,"(海沧滨海社区)沧湖东一里237到244号, 沧湖东一里229-235号, 海沧区沧湖东一里228-252号",40070,2003年建成 ,板楼,0.65至1.2元/平米/月,管好家物业,厦门旭程房地产开发有限公司,12栋,1029户
莲花新城二期,"(集美集美新城)集美区海翔大道南侧, 集美区龙亭二里7-11号",38336,2001年建成 ,板楼/塔板结合,1.98元/平米/月,白士德物业公司,厦门市东区开发有限公司,10栋,1031户
联发杏林湾一号一期,"(集美杏林桥头)宁海五里5号, 集美区宁海五里5号",37407,2008年建成 ,塔楼/板楼,2.68至3.38元/平米/月,厦门联发集团物业管理有限公司,厦门联发（集团）房地产公司,11栋,776户
莲花尚院,"(集美集美新城)龙荷里1到71号, 集美区龙荷里19-67号",31391,2013年建成 ,板楼,1.98元/平米/月,厦门市住总物业管理有限公司,厦门市东区综合开发有限公司,25栋,1027户
银龙广场二期,(思明火车站)后埭溪路109到5号,46155,1999年建成 ,塔楼/板楼,0.8至2元/平米/月,厦门信地置业有限公司,厦门市福信房地产开发有限公司,7栋,515户
万科金域华府一期,"(集美杏林桥头)杏林东路2期7号, 宁海一里25号, 集美区宁海一里1-25号",33877,2010年建成 ,塔楼/板楼,3.08至3.38元/平米/月,厦门厦诚物业经营管理有限公司,厦门万科房地产有限公司,13栋,1137户
龙湖春江彼岸,(海沧马銮湾中心片区)海沧海沧马銮湾新垵北路海沧中学对岸（长庚医院斜对面）,32908,2012年建成 ,塔板结合,3.3元/平米/月,龙湖物业服务集团有限公司厦门分公司,厦门琸泰置业有限公司,29栋,4074户
泉水湾一期,"(集美集美其它)乐海北里1到146号, 集美区乐海北里17-126号",37601,2005年建成 ,板楼/塔板结合/平房,1.9至3.5元/平米/月,厦门康乐物业发展有限公司,厦门泉舜房地产开发有限公司,10栋,1373户
莲花新城三期,(集美集美新城)集美区海翔大道南侧、集美新城文化教育区内,38187,2007年建成 ,板楼,1.9至2.5元/平米/月,白士德物业公司,厦门住宅建设集团有限公司,10栋,1055户
泰禾厦门院子,(海沧马銮湾中心片区)新景路泰禾厦门院子,36244,2006年建成 ,塔楼/板楼,2.5至6.98元/平米/月,福州泰禾物业管理有限公司厦门分公司,厦门泰禾房地产开发有限公司,56栋,7401户
IOI园博湾,"(集美杏锦路)集美区杏林湾二号路与杏锦路交叉口东北侧, 园博六里16号",36378,2005年建成 ,板楼/塔板结合,2.5元/平米/月,厦门市万贸悦城物业服务有限公司,马来西亚IOI集团,7栋,963户
泉舜滨海上城,(海沧滨海社区)沧林东一里493到509号,45733,2004年建成 ,塔楼/塔板结合/平房,1.6至1.9元/平米/月,厦门康乐物业发展有限公司,厦门泉舜房地产开发有限公司,5栋,1164户
天源,"(海沧海沧体育中心)滨湖一里136到189号, 海沧区滨湖一里151-189号",44276,2014年建成 ,塔楼/板楼/塔板结合,2.9至3.5元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,16栋,1780户
恒亿尚品湾（1/2/5/6期）,(同安环东海域)环湾西路美溪二里,38092,2011年建成 ,板楼/塔板结合,2.3元/平米/月,厦门汇嘉物业管理有限公司,恒亿置业有限公司,13栋,918户
禹洲领海,"(海沧海沧体育中心)海沧沧湖北路, 海沧区兴港六里17-20号",36167,2006年建成 ,塔楼/板楼/塔板结合,1.5元/平米/月,厦门市华侨城物业管理有限公司,厦门禹洲集团股份有限公司,5栋,868户
绿苑新城一组团,"(海沧滨海社区)沧林东路118到129号, 沧林东一里118号到129号",45477,2007年建成 ,塔楼/板楼,1.5至1.9元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,7栋,965户
橡树湾三期,(集美杏北)杏林北三路橡树湾三期,37053,2007年建成 ,塔楼/板楼/塔板结合,2.8至3.2元/平米/月,华润置地（福州）物业服务有限公司厦门分公司,华润置业股份有限公司,8栋,1097户
龙湖春江郦城一期,(集美杏北)杏林北路龙湖春江郦城一期,39248,2015年建成 ,塔楼/板楼/塔板结合,3至3.3元/平米/月,龙湖物业服务集团有限公司厦门分公司,厦门翔洲房地产开发有限公司,10栋,1352户
翔鹭花城一，二期,(湖里殿前)长浩路一里43到49号,45786,1992年建成 ,塔楼/板楼/塔板结合,0.8至1.5元/平米/月,厦门常春藤物业管理有限公司,翔鹭（厦门）房地产开发有限公司,94栋,2661户
滨水小区三期,"(集美集美新城)杏林湾东北部、集美大道以南, 集美区滨水三里19-58号",34930,2000年建成 ,塔板结合,1.2元/平米/月,厦门安和万家物业管理有限公司,厦门住宅建设集团有限公司,6栋,1190户
未来海岸蓝水郡,"(海沧海沧体育中心)兴港路1号, 海沧区兴港五里67号, 兴港五里69号",33896,2005年建成 ,塔楼/板楼/塔板结合,1.2至1.7元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,14栋,1557户
锦辉花园,"(海沧海沧外国语片区)兴港路2350到2364号, 钟林里87号, 钟林里88号, 钟林里102号",40974,2000年建成 ,塔楼/板楼,1.2至1.5元/平米/月,厦门艺辉集团有限公司,厦门艺辉建发展有限公司,2栋,230户
金鸡亭小区东区,(思明金鸡亭)莲前西路477到8号附近,46692,1991年建成 ,板楼,0.5至2元/平米/月,厦门华林物业发展有限公司,厦门市华林建设发展有限公司,26栋,1604户
水晶湖郡A区,"(集美集美新城)侨英街道滨水二里69号, 集美区滨水三里12-19号, 集美区滨水三里12-37号",41339,2010年建成 ,板楼/塔板结合,2.2至2.5元/平米/月,厦门市住总物业管理公司,厦门万特福房地产开发有限公司,40栋,1586户
海上五月花五期,"(集美集美其它)东垵北五里, 东安北五里",38729,1999年建成 ,塔板结合,2.5至3.3元/平米/月,保利物业管理有限公司厦门分公司,福建中联盛房地产开发有限公司 ,10栋,792户
泰和花园,(湖里金尚)吕岭路191到197号,40008,1994年建成 ,板楼,0.5至2元/平米/月,厦门永升隆物业服务有限公司,厦门大洋集团有限公司,9栋,598户
樱花山庄,"(湖里大唐世家)园山北路45-49, 园山北路55",46202,1996年建成 ,板楼,0.5至1元/平米/月,厦门源益电力股份有限公司,厦门源益电力股份有限公司,11栋,464户
天湖城天湖,(海沧海沧区政府)滨湖南路1到60号,34829,2006年建成 ,塔楼/板楼/塔板结合/平房,1.95元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,18栋,3504户
旭日海湾二期,"(海沧滨海社区)沧湖东路588到598号, 滨湖东路524号",31559,2001年建成 ,板楼,0.65至0.8元/平米/月,厦门银之座物业管理有限公司,厦门旭程房地产开发有限公司,4栋,247户
联发杏林湾一号二期,(集美杏林桥头)宁海六里34到39号,35783,2012年建成 ,塔楼/板楼/塔板结合,1.2至2.68元/平米/月,厦门联发集团物业管理有限公司,厦门联发（集团）房地产公司,7栋,1294户
福南小区,"(集美集美文教区)嘉庚路16号之10, 集美区嘉庚路16号",38284,1994年建成 ,板楼,0.3元/平米/月,福南小区业委会,信地实人有限公司,3栋,245户
源益小区,(湖里大唐世家)兴隆路606号之1-12,34402,1993年建成 ,板楼,1.8元/平米/月,暂无信息,宝龙集团洛阳宝龙置业发展有限公司,5栋,220户
福津大街（凤屿路36-74号）,(思明富山)凤屿路36到74号,46821,1998年建成 ,板楼/塔板结合,0.8至5元/平米/月,厦门福康物业管理有限公司,厦门福康经济发展有限公司,12栋,529户
溢翔首府,(同安环东海域)美溪道溢翔首府,39520,2009年建成 ,塔楼/板楼,2元/平米/月,暂无信息,金地集团,6栋,702户
福满山庄,"(思明瑞景)洪莲里88号到120号, 洪莲里120号之一, 莲前东路665号, 莲前东路667号, 洪莲里651号之一, 莲前东路651号之一, 莲前东路591号",46468,2002年建成 ,塔楼/板楼,1.25元/平米/月,厦门市厦煌物业服务有限公司,厦门福满经济开发有限公司,9栋,1451户
古龙御景一期南区,"(集美集美其它)海凤南里1号到36号, 集美区海凤南里2-9号",32165,2009年建成 ,塔楼/板楼,1.5至1.8元/平米/月,厦门华菲物业管理有限公司,厦门市古龙集团房地产开发有限公司,3栋,453户
岑东路,"(集美集美文教区)岑东路148号, 岑东路1号, 岑东路114号, 岑东路158号, 岑东路120号, 集美区岑东路1-171号",31629,1964年建成 ,板楼,20元/平米/月,无物业管理服务,无开发商,48栋,945户
禹洲中央海岸三期,(集美杏林桥头)宁海二里22号,34764,2011年建成 ,板楼,2.68元/平米/月,厦门市华侨城物业管理有限公司,禹州集团,5栋,1353户
滨水小区二期,"(集美集美新城)杏林湾东北部、集美大道以南, 集美区滨水一里55号",32466,2000年建成 ,塔板结合,1.2至1.21元/平米/月,厦门安和万家物业管理有限公司,厦门住宅建设集团有限公司,9栋,1415户
美地雅登五里,(翔安新店)祥吴五路祥吴五里,31294,2009年建成 ,塔楼/板楼/平房,1.2至1.4元/平米/月,汇嘉（厦门）物业管理有限公司,无开发商,11栋,954户
文轩花园,"(海沧海沧生活区)沧林三路529到581号, 海沧区沧林三路537-579号",31695,2002年建成 ,板楼,0.6元/平米/月,厦门市海沧区新区物业有限公司,厦门海沧房地产开发有限公司,7栋,399户
美新广场,(思明火车站)厦禾路879号,45075,2004年建成 ,塔楼/板楼,1.8至2元/平米/月,厦门美新物业管理有限公司,厦门市新怡和房产开发有限公司,1栋,660户
禹洲华侨金海岸,"(海沧海沧体育中心)兴港六里3号, 海沧区兴港六里1-20号",35909,2007年建成 ,塔板结合,1.35至1.5元/平米/月,厦门禹州集团股份有限公司,厦门禹洲集团股份有限公司,4栋,783户
鑫荣苑,"(海沧海沧生活区)海富里362-363号, 海沧区沧林三路171-199号",31489,1998年建成 ,板楼,1.5元/平米/月,无物业管理服务,厦门市鑫星河房地产开发有限公司,13栋,133户
豪峰大厦,(湖里江头)吕岭路15号,46253,2004年建成 ,塔楼,1.2元/平米/月,厦门物业管理,厦门市豪利房地产开发有限公司,2栋,304户
铭爵山庄,(湖里湖里大道)华荣路182到188号,43461,1997年建成 ,塔楼/板楼,0.5至1.25元/平米/月,铭爵山庄（厦门）房地产开发有限公司,铭爵山庄（厦门）房地产开发有限公司,4栋,508户
龙辉花园,(思明火车站)坂尾路21到25号,46173,1990年建成 ,板楼,1元/平米/月,龙源物业管理有限公司,厦门嘉隆房地产开发有限公司,3栋,149户
金山花园,"(湖里金山)禾东路1043到1049号, 湖坊东路32号, 湖坊东路34号, 湖坊东路32-101号, 金山西里5号, 金山西里10号, 金山西里10-9-102",43812,2000年建成 ,板楼/塔板结合,0.6至1元/平米/月,厦门常春藤物业管理有限公司,厦门国际建设股份有限公司,9栋,378户
海上五月花三期,"(集美集美其它)东垵北二里, 集美区东安北二里, 东安北二里11号",38782,2004年建成 ,板楼,2.3至2.5元/平米/月,保利物业管理有限公司厦门分公司,福建中联盛房地产开发有限公司 ,7栋,905户
恒丰花园2,(湖里南山路)长岸路86到144号,46805,1996年建成 ,板楼,1.1至1.6元/平米/月,厦门市恒丰物业有限公司,厦门建发集团有限公司,2栋,439户
未来海岸凌波,"(海沧未来海岸北师大)嵩屿南一里194到224号, 海沧区嵩屿南一里194-208号",35059,2005年建成 ,板楼/平房,1.6至50元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,2栋,268户
国贸天悦,(集美杏北)杏林北路国贸天悦,41634,2007年建成 ,板楼/塔板结合,3.2至3.75元/平米/月,暂无信息,厦门国贸天同房地产有限公司,43栋,3516户
联丰商城二期,(思明瑞景)洪莲里381-383号,45698,1996年建成 ,塔板结合,0.8至1.2元/平米/月,厦门鸿天福物业管理有限公司,联丰(厦门)房地产开发有限公司,2栋,170户
海上五月花一期,"(集美集美其它)东安北一里1号到5号, 集美区东安北一里1-5号",35033,2000年建成 ,塔板结合,2.3至2.5元/平米/月,保利物业管理有限公司厦门分公司,福建中联盛房地产开发有限公司,6栋,665户
旭日海湾一期,"(海沧滨海社区)滨湖东路574-584, 滨湖东路820, 海沧区滨湖东路574-580号",34851,2000年建成 ,塔楼/板楼/塔板结合,0.65至0.8元/平米/月,厦门银之座物业管理有限公司,厦门旭程房地产开发有限公司,5栋,389户
浦南新村,(思明火车站)东浦路111到203号,44244,1995年建成 ,板楼,0.5至1元/平米/月,厦门市厦禾物业管理有限公司,厦门市浦南工程局,7栋,828户
联发杏林湾一号三期,(集美杏林桥头)宁海五里1-26号,36975,2012年建成 ,板楼/平房,2.68至3.2元/平米/月,厦门联发集团物业管理有限公司,厦门联发（集团）房地产公司,7栋,1197户
建发中央湾区soho,(湖里五缘湾)日圆二里2-3号,34221,2013年建成 ,塔楼/板楼/塔板结合,4.8至8元/平米/月,怡家园（厦门）物业管理有限公司,厦门建发集团有限公司,3栋,1177户
宏山新村,"(湖里金山)金山西二里43到62号, 金山西路21, 金山西路21-101, 金山西二里58-62号",45768,1996年建成 ,板楼,0.55元/平米/月,厦门天羚物业管理有限公司,厦门世侨投资管理有限公司,14栋,567户
联丰商城,"(思明瑞景)莲前东路洪莲里14号到71号, 洪莲里61号",44648,1996年建成 ,塔楼/板楼,0.65至1元/平米/月,厦门鸿天福物业管理有限公司,联丰(厦门)房地产开发有限公司,15栋,687户
艾德花园一期,(湖里机场区)枋钟路334到362号,45308,1995年建成 ,塔楼/板楼,1.05至2元/平米/月,艾德物业管理处,厦门金环置业有限公司,8栋,269户
海山路,(湖里东渡)海山路,43441,1986年建成 ,塔楼/板楼/塔板结合,8元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,25栋,513户
绿苑商城,(海沧滨海社区)沧湖东一里289到290号,38467,2007年建成 ,塔楼,1.8元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,2栋,490户
金城湾花园,(海沧未来海岸北师大)海沧区1号,33430,2011年建成 ,塔楼/塔板结合,2.2元/平米/月,厦门金城湾物业管理有限公司,厦门金城湾房地产开发有限公司,3栋,669户
金鸡亭小区西区,(思明金鸡亭)莲前西路477到8号,46412,1993年建成 ,板楼,0.55至0.75元/平米/月,厦门华林物业发展有限公司,厦门市华林建设发展有限公司,37栋,2075户
绿苑小区三期,(海沧滨海社区)沧林路附近临近绿苑小区,34198,2006年建成 ,板楼/塔板结合,1.2元/平米/月,厦门海投物业有限公司,厦门海沧土地开发有限公司,12栋,476户
艾德花园二期,"(湖里机场区)枋钟路244到248号, 枋钟路246号",41879,1995年建成 ,板楼,1.2至1.3元/平米/月,厦门怀德居物业行销代理有限公司,厦门泰地置业有限公司,5栋,282户
金鹭花园,"(湖里金山)金山西里, 金山西里161-165号, 金山西里181-182号, 金山西里166-170号, 金山西路265-101号",45979,1990年建成 ,板楼,0.8元/平米/月,厦门华夏物业管理公司,华联厦门房地产开发中心,13栋,571户
古龙御景一期北区,"(集美集美其它)海凤南里, 集美区海凤南里76-69号",37385,2000年建成 ,塔楼/板楼/塔板结合,1.5至1.8元/平米/月,厦门华菲物业管理有限公司,厦门市古龙集团房地产开发有限公司,4栋,759户
国贸金沙湾,(同安环东海域)同安环东海域滨海西大道南侧,40005,2010年建成 ,塔楼/板楼/塔板结合,2.6至4.2元/平米/月,国贸物业,国贸地产集团有限公司,15栋,664户
建邦大厦,(湖里江头)台湾街363号,44098,2003年建成 ,塔楼/板楼,1.8元/平米/月,厦门市禾源物业管理有限公司,厦门市诚毅地产有限公司,1栋,574户
金祥花园,(湖里祥店)仙岳路与金尚路交汇处,46689,2000年建成 ,板楼,1.2元/平米/月,无物业管理服务,无开发商,2栋,64户
泉水湾三期,"(集美集美其它)乐海北里16号, 乐海北里320号-329号",38863,2011年建成 ,塔楼/板楼/塔板结合,2.1至2.3元/平米/月,厦门康乐物业发展有限公司,厦门泉舜房地产开发有限公司,6栋,581户
天御小区,"(海沧海沧区政府)钟林南路113号, 海沧区钟林南里1-11号",34195,2000年建成 ,塔楼/板楼/平房,1.9至3.5元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,11栋,1162户
中骏海岸1号,(海沧滨海社区)滨湖东路3号,46147,2008年建成 ,塔楼/塔板结合,2.1至2.62元/平米/月,北京戴德梁行物业管理有限公司厦门物业管理分公司,厦门市中骏置业有限公司,6栋,688户
龙潭花园,(湖里SM)园山南路697-705、751-759,42430,1996年建成 ,板楼,1元/平米/月,厦门市龙潭物业管理有限公司,厦门龙潭房地产开发有限公司,6栋,368户
中央公园城,(集美集美其它)集美乐天路东南侧（紧邻喜盈门建材家具广场）,35906,2011年建成 ,塔楼/板楼/塔板结合,2.5元/平米/月,厦门景山都市物业服务有限公司,厦门市集美建设发展有限公司,8栋,1375户
海银大厦,(海沧海沧生活区)沧虹路107号,33675,2003年建成 ,塔楼,1元/平米/月,厦门华通国际招商有限公司,厦门华通国际招商有限公司,1栋,384户
嘉隆建材城,(湖里SM)禾山路96号,40332,1996年建成 ,板楼,1.8元/平米/月,厦门天刚物业有限公司,无开发商,15栋,150户
天鹅美苑,"(集美集美文教区)乐海南里, 乐海南里1-466, 乐海南里289号, 集美区乐海南里270-428号",39584,2005年建成 ,塔楼/板楼,1.5元/平米/月,福州深长城物业管理有限公司厦门分公司,厦门旺荣房地产开发有限公司,11栋,619户
绿苑新城二组团,(海沧滨海社区)沧林东一里101号到116号,46474,2010年建成 ,板楼,1.5至1.95元/平米/月,厦门海投物业有限公司,厦门海投房地产有限公司 ,6栋,399户
官都里,"(思明火车站)官都里10-15号, 官都里7号",45578,1985年建成 ,塔楼/板楼,0.3至0.8元/平米/月,无物业管理服务,厦门华星开发商,13栋,381户
特房银溪墅府图尔花园,"(翔安环东海域)西洲路银溪墅府图尔花园, 滨洲七里",34724,2015年建成 ,塔楼/板楼/塔板结合,3元/平米/月,厦门市特房物业服务有限公司, 重庆汇东房地产开发有限公司,8栋,967户
怡景花园,(湖里湖里大道)嘉园路,44950,1989年建成 ,板楼,0.75至1.2元/平米/月,厦门春色满园楼宇经营管理有限公司,厦门华远建设集团有限公司,12栋,1124户
鸿图苑,(湖里保税区)昌鸿路3-23号附近,36308,1996年建成 ,板楼,0.75至0.85元/平米/月,无,厦门南湖房地产开发有限公司,3栋,288户
鼓浪花园,(海沧滨海社区)沧湖东二里119到138号,34934,2006年建成 ,塔楼/板楼/平房,1.2至1.3元/平米/月,厦门白士德楼宇管理有限公司,厦门鑫叶房地产开发有限公司,7栋,699户
中海寰宇天下,"(集美杏林桥头)宁海六里118号, 宁海六里110号, 杏滨路166号, 集美区宁海六里101-118号",38074,2001年建成 ,板楼,2.68至4.5元/平米/月,暂无信息,厦门中海海怡地产有限公司,50栋,1132户
前埔南区文兴东三里,(思明前埔)文兴东三里12到34号,46134,1999年建成 ,板楼/塔板结合,0.75至3.6元/平米/月,厦门市厦禾物业管理有限公司,厦门经济特区房地产开发集团有限公司,14栋,491户
海景明珠,"(集美集美文教区)盛光路398到474号, 集美区盛光路390-480号",41153,2002年建成 ,板楼,1.7元/平米/月,厦门常春藤物业管理有限公司,厦门旺森置业有限公司  ,8栋,303户
绿苑海景,"(海沧滨海社区)沧湖东二里36到40号, 海沧区沧湖东二里27-40号",42257,2007年建成 ,塔楼/塔板结合,1.7至2.2元/平米/月,厦门海沧新区物业管理有限公司,国际开发商海沧土地开发有限公司,3栋,700户
大唐世家二期,(湖里大唐世家)兴隆路582到604号,45954,1998年建成 ,板楼,0.8至1.5元/平米/月,厦门白士德楼宇管理有限公司,无开发商,4栋,255户
滨水小区四期,"(集美集美新城)集美大道以南, 集美区滨水一里27号",34908,2008年建成 ,塔板结合,1.2至1.21元/平米/月,厦门安和万家物业管理有限公司, 陕西亿润经贸有限公司 ,6栋,739户
云顶花园,(思明金鸡亭)莲前西路322到354号,46601,1995年建成 ,塔楼/板楼/塔板结合,0.8至1.5元/平米/月,厦门银鼎岩物业管理有限公司,无开发商,10栋,684户
石鼓路,"(集美集美文教区)石鼓路96-100, 石鼓路86号, 石鼓路194号, 石鼓路12号, 石鼓路64号, 石鼓路5-6, 集美区塘埔路7号",31576,1985年建成 ,板楼/平房,暂无信息,暂无信息,无开发商,46栋,1382户
